ingredient_id,category,subcategory,ingredient_name,bottle_size_ml,bottle_cost,cost_per_ml
1,Liqour,Tequila,Jose Cuervo Gold,1000.0,4000.0,4.0
2,Liqour,Tequila,Jose Cuervo Gold,750.0,3500.0,4.666666667
3,Liqour,Tequila,Jose Cuervo Silver,1000.0,4000.0,4.0
4,Liqour,Tequila,Jose Cuervo Silver,750.0,3500.0,4.666666667
5,Liqour,Tequila,Olmeca Gold,750.0,4000.0,5.333333333
6,Liqour,Tequila,Olmeca Silver,750.0,4000.0,5.333333333
7,Liqour,Tequila,Olmeca chocolate,750.0,4000.0,5.333333333
8,Liqour,Tequila,Sierra Gold,1000.0,4000.0,4.0
9,Liqour,Tequila,Sierra Silver,1000.0,4000.0,4.0
10,Liqour,Tequila,Camino Gold,750.0,4000.0,5.333333333
11,Liqour,Tequila,Camino silver,750.0,4000.0,5.333333333
12,Liqour,Tequila,El charro Gold,750.0,2500.0,3.333333333
13,Liqour,Tequila,El charro silver,750.0,2500.0,3.333333333
14,Liqour,Tequila,Margaritaville Calypso Coconut,1000.0,3500.0,3.5
15,Liqour,Tequila,Margaritaville Island Lime,1000.0,3500.0,3.5
16,Liqour,Tequila,Margaritaville last Mango,1000.0,3500.0,3.5
17,Liqour,Tequila,Margaritaville Paradise Passion Fruit,1000.0,3500.0,3.5
18,Liqour,Tequila,Los Cabos Silver,750.0,3000.0,4.0
19,Liqour,Tequila,Los Cabos Gold,750.0,3000.0,4.0
20,Liqour,Gin,Gilbeys Gin,750.0,1550.0,2.066666667
21,Liqour,Gin,Beefeater,750.0,2000.0,2.666666667
22,Liqour,Gin,Bombay Sapphire,750.0,3500.0,4.666666667
23,Liqour,Gin,Bombay Sapphire,1000.0,3800.0,3.8
24,Liqour,Gin,Gordons ,750.0,2800.0,3.733333333
25,Liqour,Gin,Gordons ,1000.0,3500.0,3.5
26,Liqour,Gin,Chrome Gin,750.0,700.0,0.933333333
27,Liqour,Gin,Beefeater Blood Orange,700.0,1500.0,2.142857143
28,Liqour,Gin,Gilbeys Mixed Berry,750.0,1550.0,2.066666667
29,Liqour,Gin,Kenyan Original 58 Orange,750.0,1200.0,1.6
30,Liqour,Gin,Kenyan Original 58 Classic        ,750.0,1200.0,1.6
31,Liqour,Gin,Caribia Gin,750.0,900.0,1.2
32,Liqour,Gin,Bustani Gin,750.0,1200.0,1.6
33,Liqour,Rum,Captain Morgan Spiced Gold,750.0,2200.0,2.933333333
34,Liqour,Rum,Captain Morgan Spiced Gold,1000.0,3000.0,3.0
35,Liqour,Rum,Captain Morgan Dark,750.0,1000.0,1.333333333
36,Liqour,Rum,Old Monk,750.0,1600.0,2.133333333
37,Liqour,Rum,Myers Dark Rum,750.0,2500.0,3.333333333
38,Liqour,Rum,Kenya Cane Coconut,750.0,840.0,1.12
39,Liqour,Rum,Kenya Cane Pineapple,750.0,840.0,1.12
40,Liqour,Rum,Kenya Cane Smooth,750.0,840.0,1.12
41,Liqour,Rum,Kenya Cane Lemon Ginger,750.0,840.0,1.12
42,Liqour,Rum,Kenya Cane Citrus,750.0,840.0,1.12
43,Liqour,Rum,Barcardi Spiced Rum,700.0,2600.0,3.714285714
44,Liqour,Rum,Barcardi Oro,750.0,2400.0,3.2
45,Liqour,Rum,Barcadi Oro,1000.0,2600.0,2.6
46,Liqour,Rum,Barcadi Limon,1000.0,3500.0,3.5
47,Liqour,Rum,Barcardi Carta Blanca Gold,750.0,2670.0,3.56
48,Liqour,Rum,Old Nick Carribean,700.0,1535.0,2.192857143
49,Liqour,Rum,Old Nick Carribean,1000.0,1870.0,1.87
50,Liqour,Rum,Old Nick Carribean Dark,700.0,1535.0,2.192857143
51,Liqour,Rum,Malibu,750.0,2060.0,2.746666667
52,Liqour,Rum,Havana Club Anejo,700.0,2125.0,3.035714286
53,Liqour,Rum,Cachaca 51,750.0,4000.0,5.333333333
54,Liqour,Rum,Cachaca 51,1000.0,4500.0,4.5
55,Liqour,Vodka,Sminorff Red,750.0,2200.0,2.933333333
56,Liqour,Vodka,Sminorff Red ,1000.0,2500.0,2.5
57,Liqour,Vodka,Sminorff Vanilla,750.0,2200.0,2.933333333
58,Liqour,Vodka,Sminorff Orange,750.0,2200.0,2.933333333
59,Liqour,Vodka,Sminorff Orange,1000.0,2500.0,2.5
60,Liqour,Vodka,Sminorff Espresso,750.0,2500.0,3.333333333
61,Liqour,Vodka,Sminorff Espresso,1000.0,2800.0,2.8
62,Liqour,Vodka,Sminorff Gold,750.0,2500.0,3.333333333
63,Liqour,Vodka,Sminorff Citrus,750.0,2200.0,2.933333333
64,Liqour,Vodka,Sminorff Citrus,1000.0,2500.0,2.5
65,Liqour,Vodka,Sminorff Green Apple,1000.0,2500.0,2.5
66,Liqour,Vodka,Sminorff Green Apple,750.0,2200.0,2.933333333
67,Liqour,Vodka,Sminorff Black,1000.0,3500.0,3.5
68,Liqour,Vodka,Sminorff Raspberry,750.0,2200.0,2.933333333
69,Liqour,Vodka,Sminorff Raspberry,1000.0,2500.0,2.5
70,Liqour,Vodka,Sminorff Blue,750.0,2200.0,2.933333333
71,Liqour,Vodka,Sminorff Blueberry,1000.0,3500.0,3.5
72,Liqour,Vodka,Sminorff Blue,1000.0,2500.0,2.5
73,Liqour,Vodka,Skyy Raspberry,750.0,2400.0,3.2
74,Liqour,Vodka,Skyy Raspberry,1000.0,2800.0,2.8
75,Liqour,Vodka,Skyy Grape,750.0,2400.0,3.2
76,Liqour,Vodka,Skyy Grape,1000.0,2800.0,2.8
77,Liqour,Vodka,Skyy Ginger,750.0,2400.0,3.2
78,Liqour,Vodka,Skyy Ginger,1000.0,2800.0,2.8
79,Liqour,Vodka,Skyy Dragon Fruit,750.0,2400.0,3.2
80,Liqour,Vodka,Skyy Dragon Fruit,1000.0,2800.0,2.8
81,Liqour,Vodka,Skyy Cherry,750.0,2400.0,3.2
82,Liqour,Vodka,Skyy Cherry,1000.0,2800.0,2.8
83,Liqour,Vodka,Skyy Vodka,750.0,2400.0,3.2
84,Liqour,Vodka,Skyy Vodka,1000.0,2800.0,2.8
85,Liqour,Vodka,Skyy Passion,750.0,2400.0,3.2
